cousreID,title,level,,
11088,GENOSIDE 2018 DP段位認定 発狂初段,段位,,
11087,GENOSIDE 2018 DP段位認定 発狂二段,段位,,
11086,GENOSIDE 2018 DP段位認定 発狂三段,段位,,
11085,GENOSIDE 2018 DP段位認定 発狂四段,段位,,
11084,GENOSIDE 2018 DP段位認定 発狂五段,段位,,
11083,GENOSIDE 2018 DP段位認定 発狂六段,段位,,
11082,GENOSIDE 2018 DP段位認定 発狂七段,段位,,
11081,GENOSIDE 2018 DP段位認定 発狂八段,段位,,
11080,GENOSIDE 2018 DP段位認定 発狂九段,段位,,
11079,GENOSIDE 2018 DP段位認定 発狂十段,段位,,
11078,GENOSIDE 2018 DP段位認定 発狂皆伝,段位,,
11077,GENOSIDE 2018 DP段位認定 Overjoy,段位,,
12674,DPSatellite Skill Analyzer sl0,段位,,
12675,DPSatellite Skill Analyzer sl1,段位,,
12688,DPSatellite Skill Analyzer sl2,段位,,
12677,DPSatellite Skill Analyzer sl3,段位,,
12678,DPSatellite Skill Analyzer sl4,段位,,
12679,DPSatellite Skill Analyzer sl5,段位,,
12680,DPSatellite Skill Analyzer sl6,段位,,
12681,DPSatellite Skill Analyzer sl7,段位,,
12682,DPSatellite Skill Analyzer sl8,段位,,
12683,DPSatellite Skill Analyzer sl9,段位,,
12684,DPSatellite Skill Analyzer sl10,段位,,
12685,DPSatellite Skill Analyzer sl11,段位,,
12686,DPSatellite Skill Analyzer sl12,段位,,
