,0
0,e_00507351968af8e4e53eb2176aec2c73
1,e_0067c0db481dcf62495a861b4e5f0e9b
2,e_00d3649022ee9100d867ea17dd20e191
3,e_00de602c7f3d1adb81f21238e7e845bf
4,e_01235b8c51c50d28afbfcd4872b37455
5,e_0145890caff6b35499af4a3ae3f9ac02
6,e_018cd06674a025dc0df446d55ab54003
7,e_01acd82d22edc820b093441c1ceb2d73
8,e_01b379101ac68b39aca8af9ba495ea7c
9,e_01b608bffba4361cb1f0fc1350445001
10,e_01bd9b363a1d5c87998b077d60f96875
11,e_01d70aa32dccbd62715b9f15537b71f7
12,e_028d2eb267753e281eea1f23a2458492
13,e_02f3e58bd59dc6d3653b02be84524698
14,e_030056b702515b5f64d6b557513293a0
15,e_030a9c1f00082a5d63a451783e8b662e
16,e_032f2470cdd02273a64a0aaa24d9a07f
17,e_0335197a43d3a8aa66d06079c5112f96
18,e_0336fef6ffbc308a99b6b9db7d0539ed
19,e_03c2d647ba044238e256bc6e53927f38
20,e_03ee34febbb179b1ebc15cf0de53b803
21,e_04444711afe3b0776835b23f4d4bf2eb
22,e_04a0afae2e165a4676c777d9bb9b55db
23,e_04bd108676a4d74c9667f1d46c598771
24,e_04e242d7bf118156285d8270eff7c2cd
25,e_052d61fdf07cd9b0562c481f93b60aa2
26,e_053a9df4c39af51f5437b7377101a0e6
27,e_058922a838838d529da9766a2f683b84
28,e_05ad2a77b4a02201bf8b7a2fef83bb5c
29,e_05bb9025d815eef7a971bb1656381218
30,e_05d569d03ea95e757d512cf19ba3507d
31,e_06035b002baf207599b7eb48f76e14b4
32,e_06102db64b3404039898e21b59196e7f
33,e_065d1040777adf6c0f217bc4ff2cb6cd
34,e_0679dc2738135b8584327e7440aa6046
35,e_069810a738deb692f8a9044f80a8502b
36,e_06aaaecc446ab49377e67a205be253a2
37,e_06cbd0de3a90da1bb5a24b3197880154
38,e_06df9f0b605ddc60bb4b996307ab6bbb
39,e_06f45c43624c1d6fc5b5d2aa49368566
40,e_06f86a760906b01757ea5a2e88d5fbf5
41,e_07979e06ec8e3a2b08dc5df8f1d39efe
42,e_07e6ffc2a5c958474927bd8d937384e3
43,e_07ea69b9a864dac1a7e0535e28adccbc
44,e_0858a9a5ced84e08ad0444baa3cee717
45,e_085de50d52e924d5387c477b789368d1
46,e_0876eb1d0cb0e0cdd774596103885fd1
47,e_08e62a99f61826c978b45ec93c490dbf
48,e_091001b3a2865a7c463f882de5377679
49,e_09170a7abead9fcb7fed236527017ad6
50,e_0927a8e429d04fb821bd166947c8bcd1
51,e_092aa3e55d78c2c36eae96cdc058fd62
52,e_09b31ac3a66695cc42732c5bf0c3255c
53,e_09d1c8ce11ca00865862fd4a94d00250
54,e_09ddc29dfc8ac70ceba82c7755efd84f
55,e_09f1502420f2065b6ba9865a8623a467
56,e_0a093471012b7ace35d8ebb1ff6ed1cb
57,e_0a410d70ef7b87377fa6e8e447c9e6b6
58,e_0a5033e3081589ffd65a6293f6421b14
59,e_0a5912c88b7801f3baece252ff2266af
60,e_0a7873bc384c10c0c88f5059efb04ec6
61,e_0a7faa71a4d9d17be6ecf9a16fb66dd8
62,e_0a96201faf16d73b0b9981fbf28496d6
63,e_0ac8c71c69c6f6d4305b967b07f1c217
64,e_0b09fa8f907b995f255be1259fbcb2a5
65,e_0b1234798d2da9bbde81c1eaf6111005
66,e_0b6e9b3ad6bdb344c58958d046156c9b
67,e_0b87c2721a24decadf650078f5b611c7
68,e_0b8d3eb005fc831fb404b7f336531665
