index,level,title,md5,easy,hard,AAA,easy discrimination,hard discrimination,AAA discrimination
0,★★6,Lonely Orbit [Prologue],00507351968af8e4e53eb2176aec2c73,62.35096841779734,83.60944520241964,79.59637703731335,0.2428072413197251,0.3090722835666729,0.3974505755432297
1,★6,res extensa [BLEND],0067c0db481dcf62495a861b4e5f0e9b,32.87030307520272,50.8041376889752,43.62048181269749,0.22894187676296318,0.2589123423349009,0.35029487489684696
2,★6,水晶世界 〜Fracture〜 [DP ANOTHER],00d3649022ee9100d867ea17dd20e191,34.78501196155299,48.4324927834297,32.02479162439,0.18941998649185088,0.2641188948600852,0.29702242347589847
3,★★4,Spider Dance [AHUTHER],00de602c7f3d1adb81f21238e7e845bf,65.32670502907581,75.82323894703497,70.52925864721902,0.20122613247901264,0.3037429055799707,0.41627834813643405
4,★★10,End Time [neptune],01235b8c51c50d28afbfcd4872b37455,81.22433246160588,94.94751648452542,93.30506050465166,0.2872984791262975,0.2418024424922704,0.31910674906001046
5,sl3,明空リュウセイグン [DP Daybreak],0145890caff6b35499af4a3ae3f9ac02,26.216066091244794,40.22600691324328,19.925237741540503,0.13178858396211798,0.18378371604545707,0.2537261422170621
6,★7,Pluto [EX14],018cd06674a025dc0df446d55ab54003,40.440342745509206,48.39195700232573,56.71113096434332,0.17288491484073737,0.2052773039443755,0.2979978013424391
7,★★6,堕楽の園 [Magic],01acd82d22edc820b093441c1ceb2d73,68.44639175272124,83.14980807720073,75.9250428439346,0.20029511505133685,0.3018548089821683,0.4087455703469275
8,★7,Magical Love Words (ぜったい、ぜーったい両皆伝になるんだっ！),01b379101ac68b39aca8af9ba495ea7c,35.28935778627898,51.88050454043824,36.304620996689536,0.15929594721406223,0.24825563556021912,0.292218187398438
9,★6,REspEcT-B.A.U MIX- [Kumanother],01b608bffba4361cb1f0fc1350445001,29.01879094843834,46.3638437634545,32.160759620754696,0.17796275199710593,0.20754382787689424,0.2849793263886441
10,sl12,suffruti,01bd9b363a1d5c87998b077d60f96875,62.27577100189991,75.03701219295611,74.7817093738938,0.20382197728126386,0.33414580254791754,0.37046712374182983
11,★1,Elysian Forest [DP EXTRA],01d70aa32dccbd62715b9f15537b71f7,18.37609774305005,32.06549994049382,26.30399529526699,0.17818504914686664,0.1924710926045465,0.3234430700526863
12,sl7,ELECTRiCiTY [DP INSANE],028d2eb267753e281eea1f23a2458492,39.66247603274632,57.35850490423196,42.497107165363786,0.07061822363372541,0.18929551267215453,0.35800906030695623
13,★2,P-ChicK-ParK (DP ANOTHER),02f3e58bd59dc6d3653b02be84524698,19.54488909331068,33.71453722540041,21.287149517609752,0.19512114717636808,0.2406066400632473,0.27113336106066876
